Loan_ID,Age,Income,Employment_Length,Education_Level,Marital_Status,Loan_Amount,Loan_Term,Interest_Rate,Loan_Purpose,Credit_Score,Debt_to_Income_Ratio,Number_of_Credit_Cards,Current_Total_Debt,Payment_History_Score,Account_Balance,Number_of_Bank_Accounts,Previous_Loans,Default_History,Risk_Level
LN100000,43,100522,6,Associate,Single,10539,36,4.82,Medical,379,15.18,5,60701,434,76488,4,2,0,Low
LN100001,50,131654,25,Doctorate,Divorced,12493,60,10.15,Education,755,32.89,8,150018,330,68071,7,2,0,Low
LN100002,50,165512,39,Master,Single,40604,48,9.67,Medical,598,28.79,3,145199,755,53866,6,1,0,High
LN100003,25,139107,10,Bachelor,Divorced,26311,36,7.96,Business,501,38.88,9,117101,558,90257,9,2,0,Low
LN100004,37,159032,13,High School,Divorced,42707,12,8.4,Business,802,31.93,3,110002,403,70499,2,1,0,Medium
LN100005,33,42462,20,Master,Single,8644,24,9.45,Other,784,10.87,9,161476,730,78243,7,3,0,Medium
LN100006,38,37821,7,Doctorate,Divorced,25445,24,19.82,Medical,317,59.7,4,18401,681,63153,5,4,1,Medium
LN100007,62,178330,2,Bachelor,Divorced,40934,60,16.42,Other,777,37.18,2,147500,768,12860,7,3,0,Medium
LN100008,43,112889,27,Bachelor,Single,14511,48,4.68,Home,787,33.68,9,102958,812,79783,1,3,0,High
LN100009,40,108952,28,Doctorate,Married,5183,48,17.89,Business,745,57.73,1,113046,506,82946,9,4,0,Low
LN100010,35,173187,22,Bachelor,Single,14475,24,13.95,Education,639,17.79,8,65372,746,17670,1,1,0,Medium
LN100011,48,138066,17,Doctorate,Divorced,24230,12,18.19,Business,830,19.46,0,12971,388,84766,5,1,1,High
LN100012,69,197505,34,Bachelor,Widowed,31008,24,9.14,Home,415,50.4,4,89018,494,41280,8,2,0,High
LN100013,59,99364,12,Associate,Married,16332,24,11.16,Education,373,23.04,4,125768,713,89694,1,0,1,Medium
LN100014,29,90077,11,Doctorate,Widowed,47756,48,18.29,Medical,568,49.96,7,17565,421,61439,7,1,0,Medium
LN100015,18,60644,4,Master,Married,9722,36,8.0,Medical,415,23.58,5,7829,761,79423,2,4,0,High
LN100016,59,82643,38,Associate,Widowed,20194,12,18.61,Business,463,11.66,5,77023,415,35061,7,0,0,Medium
LN100017,26,33311,10,Master,Married,31631,48,17.17,Education,521,35.85,5,167507,495,50764,7,4,1,Medium
LN100018,20,149466,10,Bachelor,Single,32912,24,19.68,Education,425,19.83,3,82823,335,23810,9,4,0,Low
LN100019,68,50531,30,Master,Married,22166,36,8.85,Other,475,47.89,0,39941,366,90894,6,4,0,Low
LN100020,43,34588,30,Associate,Married,20976,12,7.39,Home,674,42.06,2,174531,580,45588,4,0,0,Medium
LN100021,26,69416,12,Doctorate,Married,43623,60,8.96,Medical,797,56.18,9,180048,778,15933,7,3,0,Medium
LN100022,59,163452,13,High School,Divorced,17046,12,19.25,Business,384,49.15,5,112539,310,30034,7,4,0,Medium
LN100023,68,193717,24,Master,Widowed,38444,12,9.0,Education,682,19.04,4,10176,621,1947,4,2,0,Low
LN100024,33,168890,32,High School,Single,28634,24,12.83,Medical,762,50.01,9,52516,539,19715,2,1,0,High
LN100025,41,181929,32,Master,Widowed,9090,24,10.16,Business,750,42.09,0,147144,359,30956,9,1,0,Medium
LN100026,67,41711,14,Master,Widowed,35008,60,10.04,Medical,817,43.45,4,98368,464,87180,8,1,1,Medium
LN100027,31,156169,15,Doctorate,Single,27107,60,6.69,Business,849,51.61,1,151761,488,80846,5,0,0,High
LN100028,20,136348,37,Bachelor,Divorced,13382,60,12.36,Medical,415,38.69,0,150671,786,87986,5,2,1,Low
LN100029,51,179465,5,Associate,Married,14034,48,17.52,Other,307,33.3,3,126670,391,16303,1,2,0,Medium
LN100030,50,42076,24,Associate,Divorced,13526,48,4.32,Home,517,41.83,5,83045,588,24031,9,2,0,Medium
LN100031,67,104274,14,Associate,Divorced,29073,24,18.17,Medical,703,24.9,6,167460,808,94786,8,2,1,Medium
LN100032,41,77609,3,Bachelor,Married,6110,24,14.48,Home,603,19.13,8,119903,374,87389,5,2,1,Medium
LN100033,26,180389,3,High School,Widowed,21445,60,13.68,Medical,766,40.83,4,51603,727,17977,6,3,0,Low
LN100034,30,78480,29,Associate,Married,5386,48,13.83,Education,387,21.69,7,75736,684,42707,8,2,0,Medium
LN100035,19,27044,33,High School,Single,23584,36,8.39,Other,309,14.0,7,26789,352,14465,6,2,0,Low
LN100036,24,75486,26,Bachelor,Married,39451,48,10.35,Other,607,10.03,8,89623,474,75761,4,0,0,Low
LN100037,65,75162,30,Bachelor,Widowed,35549,24,16.69,Home,733,40.42,2,53282,773,16640,3,0,0,High
LN100038,38,49882,31,Doctorate,Divorced,11321,48,8.56,Education,463,28.11,2,34464,660,31535,7,2,0,Medium
LN100039,36,74078,38,Associate,Divorced,29440,24,11.26,Business,538,47.62,8,199878,569,39280,2,3,1,High
LN100040,42,78734,8,Doctorate,Married,36566,60,3.82,Other,616,28.76,6,42994,706,2991,7,2,0,Medium
LN100041,64,128730,7,Associate,Single,46446,60,15.6,Education,634,34.3,3,108309,423,17801,1,2,0,Medium
LN100042,39,194898,13,Bachelor,Widowed,37521,60,10.39,Education,317,30.35,0,124189,675,89680,5,2,0,High
LN100043,28,107985,32,Bachelor,Divorced,49692,36,12.17,Home,370,42.53,6,92123,691,7965,9,4,0,High
LN100044,50,64028,22,Master,Married,28798,36,5.39,Education,474,27.81,9,26594,481,13730,1,3,0,Low
